patient_id,first_name,last_name,date_of_birth,age,gender,ssn,phone_number,email,address,city,state,zip_code,admission_date,discharge_date,length_of_stay_days,admission_type,department,attending_physician,primary_diagnosis,secondary_diagnosis,medication_1,medication_2,height_cm,weight_kg,bmi,blood_pressure,heart_rate_bpm,temperature_celsius,oxygen_saturation_pct,blood_glucose_mgdl,creatinine_mgdl,hba1c_pct,insurance_provider,insurance_claim_amount_usd,icu_days,readmission_30day_flag,smoker,alcohol_use,discharge_disposition
93810,Michelle,Mitchell,1961-12-20,58,M,532-53-5552,359-420-6514,michelle.mitchell14@gmail.com,5636 Hill Blvd,Fort Worth,FL,59797,2020-07-03,2020-07-08,5,Urgent,Orthopedics,Dr. Rivera,Type 2 Diabetes,Pneumonia,Amlodipine,Hydrochlorothiazide,151.4,53.0,23.1,167/61,,37.8,92,73,6.19,5.4,Humana,70584.69,0,1,No,None,Deceased
83000,Betty,Moore,1945-01-06,75 yrs,male,697-61-6930,424-341-9348,betty.moore64@gmail.com,2505 Maple Way,Phoenix,OK,,2020-07-27,2020-07-24,-3,Emergency,Neurology,Dr. Baker,Migraine,Asthma,Hydrochlorothiazide,,192.4,119.5,32.3,173/91,108,36.6 C,99,345,2.47,9.3,Anthem,21744.49,0,0,0,Moderate,Rehab Facility
24662,  Andrew  ,Garcia,1967-08-03,-999,M,873-98-4295,930-519-7537,andrew.garcia86@hotmail.com,7398 Oak Ave,Seattle,CT,67422,2020-09-07,2020-09-09,2,Elective,Cardiology,Dr. Perez,Hyperlipidemia,,Metformin,Albuterol,186.7,N/A,36.8,106/68,120,38.1,97,286,N/A,12.4,BlueCross BlueShield,6498.92,2,0,No,,Home
24322,SANDRA,THOMAS,1980-03-31,39,M,102-59-5345,665-492-7930,sandra.thomas90aol.com,2537 Cedar Blvd,San Francisco,SC,,2019-07-29,2019-08-12,14,Transfer,Cardiology,Dr. Allen,Atrial Fibrillation,UTI,Pantoprazole,,188.8,91.8,25.8,159/60,80,37.9,91,-999,7.27,5.5,BlueCross BlueShield,49863.01,2,0,No,Occasional,Discharged to SNF
PT-19508,Susan,Allen,09/23/1995,28,F,***-**-2697,3374702891,susan.allen14@aol.com,9910 Cedar Rd,Austin,NC,30374,2024-04-25,2024-04-29,4,Urgent,Pediatrics,Dr. Hernandez,Anxiety Disorder,,Gabapentin,Gabapentin,165.7,,18.5,126/70,119,,100,340,0.56,11.4,Medicaid,70579.91,0,0,1,,Discharged to SNF
63264,Anthony,Johnson,1961-03-28,58,M,458-49-4728,4282244164,anthony.johnson52@hotmail.com,4574 Elm Rd,Houston,OK,46517,2019-10-28,2019-11-23,26,Emergency,ICU,Dr. Thompson,Stroke,Pneumonia,Levothyroxine,Amlodipine,164.9,124.1,45.6,121/77,,36.2,95,183,2.0,12.3,Centene,81834.15,2,0,Y,Heavy,Deceased
50538,anthony,Nelson,2002-07-20,18,F,318758752,953-373-2389,anthony.nelson37@aol.com,5492 Oak Way,Oklahoma City,CO,,2021-04-26,2021-05-14,18,Transfer,General Medicine,Dr. Clark,Parkinson's Disease,,Sertraline,,190.6,97.3 kg,26.8,160/60,,38.3,98,234,3.99,8.0,BlueCross BlueShield,4405.06,1,0,Unknown,,Home
88047,Steven,Ramirez,1979-09-15,45,F,443-50-9849,282-341-3471,,1053 Washington Dr,San Diego,SC,30028,2024-11-14,2024-12-11,27,Transfer,General Medicine,Dr. Smith,Anxiety Disorder,Hypothyroidism,Lisinopril,,183.5,,25.3,121/100,116,37.0 C,95,-999,5.85,,Centene,-684.78,3,0,Y,Moderate,AMA
83975,Patricia,Taylor,1978-06-14,41,F,329-93-2124,999-867-1659,patricia.taylor97@gmail.com,334 Hill Ave,Baltimore,OH,42411,2019-07-10,2019-08-07,28,Emergency,Pediatrics,Dr. Miller,Hyperlipidemia,,Amlodipine,Losartan,170.5,73.7,25.4,125/108,103,36.3,,346,0.89,,Kaiser Permanente,14678.18,3,0,,None,Discharged to SNF
11658,Sandra,Rivera,1949-06-20,,M,561-41-8613,,sandra.rivera44@gmail.com,2980 Park Ave,Jacksonville,OK,74789,2022-11-11,2022-11-23,12,Routine,Surgery,Dr. Carter,Osteoarthritis,Anxiety Disorder,Gabapentin,Gabapentin,183.0,127.1,38.0,158/109,105,38.4,93,195,6.73,4.8,Anthem,80611.29,4,0,yes,N/A,AMA
